,2d_x,2d_y,periodic_#_2d,bond_1_2d,bond_2_2d,bond_3_2d,3d_x,3d_y,3d_z
0,2.3191,0.0,8,1,0,0,2.4896,0.0,0.0
1,-0.9678,1.8692,8,1,0,0,-1.2472,2.1529,0.0
2,-2.05,-0.0361,8,1,0,0,-1.2429,-2.16,0.0455
3,0.1254,-1.766,7,1,0,0,-0.0087,0.0008,-1.4794
4,0.1434,-0.0266,6,4,0,0,-0.0001,-0.0019,-0.0052
5,1.239,-0.6425,6,2,0,0,1.3229,0.6757,0.4646
6,0.1277,1.2535,6,2,0,0,-1.2394,0.8098,0.4799
7,-0.9369,-0.6516,6,2,0,0,-0.0742,-1.4774,0.4945
0,0.6535,0.8707,6,1,1,0,-0.8928,-3.0699,0.0
1,-0.6032,1.306,6,1,1,0,3.3513,0.2342,-0.0
2,-1.6086,0.4353,6,1,1,0,-2.6677,1.9593,-0.0
3,-1.3573,-0.8707,6,2,1,0,-0.6049,0.9332,-0.0
4,-0.1005,-1.306,6,1,1,0,0.8016,1.1069,-0.0
5,0.9049,-0.4353,6,2,1,0,-1.1102,-0.3902,0.0
6,2.1616,-0.8706,6,2,1,0,-0.2488,-1.5041,0.0
7,3.1669,0.0,8,1,0,0,1.6744,0.0,0.0
8,-2.3626,-1.7414,6,0,1,0,1.1445,-1.3049,0.0
9,-0.8546,2.612,6,1,0,0,-1.4474,2.0354,-0.0
0,-0.1366,-1.3003,6,1,1,0,-2.4665,-2.052,-0.0523
1,-1.3719,-0.8874,6,1,1,0,2.0591,2.0835,-0.9369
2,-1.6562,0.4453,6,2,1,0,-0.593,-0.6919,0.4945
3,-0.6562,1.3159,6,1,1,0,-1.0434,0.5539,0.0
4,0.6281,0.8537,6,1,1,0,0.7972,-0.953,0.4905
5,0.8635,-0.4297,6,2,1,0,-1.5741,-1.6832,0.994
6,2.12,-0.8671,6,2,0,0,-0.135,1.5088,-0.4942
7,3.123,-0.0,8,1,0,0,1.71,0.0,0.0
8,-2.9137,0.8696,8,1,0,0,1.2456,1.2338,-0.4957
0,3.5653,0.0,8,1,0,0,3.6753,0.0,0.0
1,2.3476,0.5267,6,2,1,0,2.3186,1.2513,-0.9309
2,2.1928,1.8495,8,0,1,0,-1.8585,-2.4723,-0.7349
3,1.2811,-0.2647,6,2,0,0,-0.0485,-2.551,-0.2156
4,0.0599,0.2668,6,2,1,0,-0.9623,-1.8372,-0.3177
5,-0.0913,1.5848,6,1,1,0,0.0755,0.283,0.4946
6,-1.3125,2.1163,6,1,1,0,1.4804,-0.1688,0.7695
7,-2.3838,1.3213,6,1,1,0,-1.0053,-0.5146,-0.019
8,-2.229,-0.0015,6,1,1,0,-0.1459,1.6592,0.7736
9,-1.0114,-0.5282,6,2,1,0,-2.2418,0.1567,-0.249
10,-0.8566,-1.851,7,2,1,0,-1.3748,2.2815,0.5172
11,-1.9231,-2.6424,8,1,0,0,-2.4299,1.5238,0.0
12,0.3611,-2.3777,8,0,1,0,2.5171,0.3885,-0.0876
0,-0.5955,-1.4774,6,1,1,0,3.7039,-0.0264,0.2685
1,-1.8817,-1.2397,6,1,1,0,-3.7985,-0.0571,0.3524
2,-2.3451,0.0469,6,2,1,0,-2.0983,-0.1907,1.5246
3,-1.4695,1.0483,6,1,1,0,-0.3067,0.0754,-0.5764
4,-0.1369,0.7608,6,1,1,0,-1.7792,0.0996,-0.7993
5,0.2736,-0.4782,6,2,1,0,0.4045,-1.1474,-0.5874
6,1.5731,-0.7333,6,2,0,0,0.4075,1.2627,-0.2899
7,2.451,0.2616,6,2,1,0,1.7809,-1.1884,-0.2982
8,2.0272,1.5179,8,0,1,0,1.7848,1.2269,-0.0
9,3.7527,-0.0,8,1,0,0,2.4761,0.0,0.0
10,-3.6489,0.2932,8,1,0,0,-2.5751,-0.0548,0.4058
0,3.8136,0.0,8,1,0,0,2.6911,0.0,0.0
1,2.5863,0.515,6,2,1,0,1.6556,-0.2278,-1.7786
2,2.4217,1.8314,8,0,1,0,-0.6799,-3.6492,-1.4078
3,1.5304,-0.2856,6,2,0,0,1.1097,-3.1708,-0.488
4,0.3031,0.2294,6,3,0,0,0.3859,-0.4645,0.1864
5,0.1385,1.5458,6,2,1,0,-0.3388,0.8031,0.5356
6,1.2002,2.3542,8,1,0,0,-0.5685,-1.5107,-0.4763
7,-1.0898,2.0677,8,0,1,0,-1.0244,0.9289,1.7711
8,-0.7596,-0.572,6,2,1,0,-0.3868,1.9133,-0.3457
